"Protocol" "Study" "CellType"
"338" "MARS-seq" "GSE72857" "GMP"
"339" "MARS-seq" "GSE72857" "GMP"
"340" "MARS-seq" "GSE72857" "GMP"
"341" "MARS-seq" "GSE72857" "MEP"
"342" "MARS-seq" "GSE72857" "GMP"
"343" "MARS-seq" "GSE72857" "GMP"
"344" "MARS-seq" "GSE72857" "MEP"
"345" "MARS-seq" "GSE72857" "GMP"
"346" "MARS-seq" "GSE72857" "GMP"
"347" "MARS-seq" "GSE72857" "GMP"
"348" "MARS-seq" "GSE72857" "GMP"
"349" "MARS-seq" "GSE72857" "GMP"
"350" "MARS-seq" "GSE72857" "CMP"
"351" "MARS-seq" "GSE72857" "CMP"
"352" "MARS-seq" "GSE72857" "GMP"
"353" "MARS-seq" "GSE72857" "MEP"
"354" "MARS-seq" "GSE72857" "CMP"
"355" "MARS-seq" "GSE72857" "MEP"
"356" "MARS-seq" "GSE72857" "GMP"
"357" "MARS-seq" "GSE72857" "GMP"
"358" "MARS-seq" "GSE72857" "MEP"
"359" "MARS-seq" "GSE72857" "MEP"
"360" "MARS-seq" "GSE72857" "GMP"
"361" "MARS-seq" "GSE72857" "GMP"
"362" "MARS-seq" "GSE72857" "CMP"
"363" "MARS-seq" "GSE72857" "MEP"
"364" "MARS-seq" "GSE72857" "CMP"
"365" "MARS-seq" "GSE72857" "GMP"
"366" "MARS-seq" "GSE72857" "CMP"
"367" "MARS-seq" "GSE72857" "CMP"
"368" "MARS-seq" "GSE72857" "CMP"
"369" "MARS-seq" "GSE72857" "MEP"
"370" "MARS-seq" "GSE72857" "MEP"
"371" "MARS-seq" "GSE72857" "GMP"
"372" "MARS-seq" "GSE72857" "CMP"
"373" "MARS-seq" "GSE72857" "GMP"
"374" "MARS-seq" "GSE72857" "GMP"
"375" "MARS-seq" "GSE72857" "CMP"
"376" "MARS-seq" "GSE72857" "MEP"
"377" "MARS-seq" "GSE72857" "CMP"
"378" "MARS-seq" "GSE72857" "MEP"
"379" "MARS-seq" "GSE72857" "GMP"
"380" "MARS-seq" "GSE72857" "GMP"
"381" "MARS-seq" "GSE72857" "CMP"
"382" "MARS-seq" "GSE72857" "CMP"
"383" "MARS-seq" "GSE72857" "MEP"
"384" "MARS-seq" "GSE72857" "CMP"
"385" "MARS-seq" "GSE72857" "GMP"
"386" "MARS-seq" "GSE72857" "MEP"
"387" "MARS-seq" "GSE72857" "GMP"
"388" "MARS-seq" "GSE72857" "GMP"
"389" "MARS-seq" "GSE72857" "CMP"
"390" "MARS-seq" "GSE72857" "CMP"
"391" "MARS-seq" "GSE72857" "MEP"
"392" "MARS-seq" "GSE72857" "GMP"
"393" "MARS-seq" "GSE72857" "MEP"
"394" "MARS-seq" "GSE72857" "GMP"
"395" "MARS-seq" "GSE72857" "MEP"
"396" "MARS-seq" "GSE72857" "MEP"
"397" "MARS-seq" "GSE72857" "MEP"
"398" "MARS-seq" "GSE72857" "GMP"
"399" "MARS-seq" "GSE72857" "MEP"
"400" "MARS-seq" "GSE72857" "GMP"
"401" "MARS-seq" "GSE72857" "CMP"
"402" "MARS-seq" "GSE72857" "GMP"
"403" "MARS-seq" "GSE72857" "CMP"
"404" "MARS-seq" "GSE72857" "CMP"
"405" "MARS-seq" "GSE72857" "CMP"
"406" "MARS-seq" "GSE72857" "MEP"
"407" "MARS-seq" "GSE72857" "GMP"
"408" "MARS-seq" "GSE72857" "GMP"
"409" "MARS-seq" "GSE72857" "GMP"
"410" "MARS-seq" "GSE72857" "GMP"
"411" "MARS-seq" "GSE72857" "MEP"
"412" "MARS-seq" "GSE72857" "GMP"
"413" "MARS-seq" "GSE72857" "MEP"
"414" "MARS-seq" "GSE72857" "GMP"
"415" "MARS-seq" "GSE72857" "GMP"
"416" "MARS-seq" "GSE72857" "GMP"
"417" "MARS-seq" "GSE72857" "CMP"
"418" "MARS-seq" "GSE72857" "GMP"
"419" "MARS-seq" "GSE72857" "GMP"
"420" "MARS-seq" "GSE72857" "MEP"
"421" "MARS-seq" "GSE72857" "MEP"
"422" "MARS-seq" "GSE72857" "GMP"
"423" "MARS-seq" "GSE72857" "CMP"
"424" "MARS-seq" "GSE72857" "MEP"
"425" "MARS-seq" "GSE72857" "MEP"
"426" "MARS-seq" "GSE72857" "GMP"
"427" "MARS-seq" "GSE72857" "GMP"
"428" "MARS-seq" "GSE72857" "GMP"
"429" "MARS-seq" "GSE72857" "MEP"
"430" "MARS-seq" "GSE72857" "GMP"
"431" "MARS-seq" "GSE72857" "MEP"
"432" "MARS-seq" "GSE72857" "GMP"
"433" "MARS-seq" "GSE72857" "MEP"
"434" "MARS-seq" "GSE72857" "GMP"
"435" "MARS-seq" "GSE72857" "GMP"
"436" "MARS-seq" "GSE72857" "GMP"
"437" "MARS-seq" "GSE72857" "CMP"
"438" "MARS-seq" "GSE72857" "CMP"
"439" "MARS-seq" "GSE72857" "GMP"
"440" "MARS-seq" "GSE72857" "MEP"
"441" "MARS-seq" "GSE72857" "MEP"
"442" "MARS-seq" "GSE72857" "MEP"
"443" "MARS-seq" "GSE72857" "MEP"
"444" "MARS-seq" "GSE72857" "GMP"
"445" "MARS-seq" "GSE72857" "MEP"
"446" "MARS-seq" "GSE72857" "GMP"
"447" "MARS-seq" "GSE72857" "CMP"
"448" "MARS-seq" "GSE72857" "GMP"
"449" "MARS-seq" "GSE72857" "MEP"
"450" "MARS-seq" "GSE72857" "CMP"
"451" "MARS-seq" "GSE72857" "GMP"
"452" "MARS-seq" "GSE72857" "GMP"
"453" "MARS-seq" "GSE72857" "GMP"
"454" "MARS-seq" "GSE72857" "GMP"
"455" "MARS-seq" "GSE72857" "MEP"
"456" "MARS-seq" "GSE72857" "MEP"
"457" "MARS-seq" "GSE72857" "GMP"
"458" "MARS-seq" "GSE72857" "GMP"
"459" "MARS-seq" "GSE72857" "GMP"
"460" "MARS-seq" "GSE72857" "MEP"
"461" "MARS-seq" "GSE72857" "GMP"
"462" "MARS-seq" "GSE72857" "GMP"
"463" "MARS-seq" "GSE72857" "GMP"
"464" "MARS-seq" "GSE72857" "GMP"
"465" "MARS-seq" "GSE72857" "GMP"
"466" "MARS-seq" "GSE72857" "MEP"
"467" "MARS-seq" "GSE72857" "MEP"
"468" "MARS-seq" "GSE72857" "GMP"
"469" "MARS-seq" "GSE72857" "CMP"
"470" "MARS-seq" "GSE72857" "GMP"
"471" "MARS-seq" "GSE72857" "GMP"
"472" "MARS-seq" "GSE72857" "GMP"
"473" "MARS-seq" "GSE72857" "MEP"
"474" "MARS-seq" "GSE72857" "CMP"
"475" "MARS-seq" "GSE72857" "GMP"
"476" "MARS-seq" "GSE72857" "GMP"
"477" "MARS-seq" "GSE72857" "MEP"
"478" "MARS-seq" "GSE72857" "GMP"
"479" "MARS-seq" "GSE72857" "CMP"
"480" "MARS-seq" "GSE72857" "GMP"
"481" "MARS-seq" "GSE72857" "GMP"
"482" "MARS-seq" "GSE72857" "GMP"
"483" "MARS-seq" "GSE72857" "GMP"
"484" "MARS-seq" "GSE72857" "MEP"
"485" "MARS-seq" "GSE72857" "GMP"
"486" "MARS-seq" "GSE72857" "MEP"
"487" "MARS-seq" "GSE72857" "GMP"
"488" "MARS-seq" "GSE72857" "GMP"
"489" "MARS-seq" "GSE72857" "GMP"
"490" "MARS-seq" "GSE72857" "MEP"
"491" "MARS-seq" "GSE72857" "MEP"
"492" "MARS-seq" "GSE72857" "MEP"
"493" "MARS-seq" "GSE72857" "GMP"
"494" "MARS-seq" "GSE72857" "GMP"
"495" "MARS-seq" "GSE72857" "MEP"
"496" "MARS-seq" "GSE72857" "MEP"
"497" "MARS-seq" "GSE72857" "CMP"
"498" "MARS-seq" "GSE72857" "GMP"
"499" "MARS-seq" "GSE72857" "CMP"
"500" "MARS-seq" "GSE72857" "GMP"
"501" "MARS-seq" "GSE72857" "CMP"
"502" "MARS-seq" "GSE72857" "GMP"
"503" "MARS-seq" "GSE72857" "MEP"
"504" "MARS-seq" "GSE72857" "MEP"
"505" "MARS-seq" "GSE72857" "CMP"
"506" "MARS-seq" "GSE72857" "CMP"
"507" "MARS-seq" "GSE72857" "MEP"
"508" "MARS-seq" "GSE72857" "MEP"
"509" "MARS-seq" "GSE72857" "GMP"
"510" "MARS-seq" "GSE72857" "GMP"
"511" "MARS-seq" "GSE72857" "GMP"
"512" "MARS-seq" "GSE72857" "CMP"
"513" "MARS-seq" "GSE72857" "CMP"
"514" "MARS-seq" "GSE72857" "GMP"
"515" "MARS-seq" "GSE72857" "MEP"
"516" "MARS-seq" "GSE72857" "MEP"
"517" "MARS-seq" "GSE72857" "GMP"
"518" "MARS-seq" "GSE72857" "GMP"
"519" "MARS-seq" "GSE72857" "GMP"
"520" "MARS-seq" "GSE72857" "MEP"
"521" "MARS-seq" "GSE72857" "GMP"
"522" "MARS-seq" "GSE72857" "MEP"
"523" "MARS-seq" "GSE72857" "CMP"
"524" "MARS-seq" "GSE72857" "CMP"
"525" "MARS-seq" "GSE72857" "GMP"
"526" "MARS-seq" "GSE72857" "GMP"
"527" "MARS-seq" "GSE72857" "MEP"
"528" "MARS-seq" "GSE72857" "GMP"
"529" "MARS-seq" "GSE72857" "GMP"
"530" "MARS-seq" "GSE72857" "CMP"
"531" "MARS-seq" "GSE72857" "GMP"
"532" "MARS-seq" "GSE72857" "GMP"
"533" "MARS-seq" "GSE72857" "CMP"
"534" "MARS-seq" "GSE72857" "GMP"
"535" "MARS-seq" "GSE72857" "GMP"
"536" "MARS-seq" "GSE72857" "MEP"
"537" "MARS-seq" "GSE72857" "GMP"
"538" "MARS-seq" "GSE72857" "MEP"
"539" "MARS-seq" "GSE72857" "CMP"
